Debug Diagnostic Log
========================================================================================================================
Generated: 1/6/2026, 8:55:43 AM
Total Events: 22017
Game Time: 177s

CURRENT STATE:
  Player Level: 2
  Player HP: 184/184
  Player Mana: 81/81
  Player Stamina: 113/113
  Player Shield: 157 (cap: 184)
  Base Player MaxMana: 70
  Stat Spends: {"vit":0,"int":0,"str":0,"def":0,"agi":0}


======================================== undefined ========================================
[170.36s]  undefined | type:"ENEMY_AI_STATE", enemy:"warrior", role:"DPS", hp:119, mana:40, position:{"x":4453,"y":1902}, speed:90, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:32, hasSpawnTarget:true, team:"teamC"
[171.43s]  undefined | type:"ENEMY_AI_STATE", enemy:"mage", role:"HEALER", hp:94, mana:39, position:{"x":4846,"y":1509}, speed:95, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:77, hasSpawnTarget:true, team:"teamC"
[171.45s]  undefined | type:"MANA_STARVATION", unit:"Warrior 912", ability:"piercing_lance", required:16, current:14, reason:"damage_rotation"
[171.45s]  undefined | type:"MANA_STARVATION", unit:"Warrior 912", ability:"chain_light", required:18, current:14, reason:"damage_rotation"
[171.45s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_life_leech", required:8, current:4, max:60
[171.47s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:0.53, hpBefore:85, hpAfter:85, hpPercent:42
[171.47s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4351,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.47s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4319,"y":2148}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.47s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4351,"y":2019}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.47s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_life_leech", required:8, current:6, reason:"damage_rotation"
[171.50s]  undefined | type:"MANA_STARVED", unit:"Warrior 894", kind:"friendly", ability:"warrior_cleave", required:9, current:9, max:60
[171.50s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"warrior", distance:77, requiredRange:30, inWater:false
[171.50s]  undefined | type:"ENEMY_AI_STATE", enemy:"warrior", role:"DPS", hp:224, mana:29, position:{"x":4866,"y":1429}, speed:90, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:33, hasSpawnTarget:true, team:"teamB"
[171.52s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4346,"y":2017}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.52s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1361, hp:63, mana:14, speed:110
[171.52s]  undefined | type:"MANA_STARVATION", unit:"Warrior 912", ability:"chain_light", required:18, current:14, reason:"damage_rotation"
[171.52s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2153}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.52s]  undefined | type:"MANA_STARVED", unit:"Warden 359", kind:"friendly", ability:"ward_barrier", required:22, current:21, max:60
[171.55s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4346,"y":2018}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.55s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 816", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:52, mana:60, speed:110
[171.55s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"mage_radiant_aura", required:18, current:2, max:60
[171.55s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_life_leech", required:8, current:5, max:60
[171.55s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"warrior", distance:77, requiredRange:30, inWater:false
[171.58s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 835", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:6, hp:52, mana:21, speed:110
[171.58s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2155}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.58s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4350,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.63s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Warrior Guard 5", distance:116, hp:43, mana:11, speed:110
[171.63s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:7, reason:"damage_rotation"
[171.66s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"mage", target:"warrior", distance:32, requiredRange:30, inWater:false
[171.66s]  undefined | type:"MANA_STARVED", unit:"warden", kind:"enemy", ability:"ward_barrier", required:22, current:5, max:40
[171.70s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:52, mana:26, speed:110
[171.70s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2150}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.70s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"arc_bolt", required:10, current:3, reason:"damage_rotation"
[171.73s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4345,"y":2024}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.73s]  undefined | type:"ENEMY_AI_STATE", enemy:"warden", role:"TANK", hp:283, mana:40, position:{"x":4493,"y":1882}, speed:65, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:65, hasSpawnTarget:true, team:"teamB"
[171.73s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"knight_rally", required:12, current:8, max:40
[171.76s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4349,"y":2019}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.76s]  undefined | type:"ENEMY_AI_STATE", enemy:"mage", role:"HEALER", hp:140, mana:25, position:{"x":4860,"y":1375}, speed:95, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:33, hasSpawnTarget:true, team:"teamC"
[171.76s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"knight_rally", required:12, current:8, max:40
[171.80s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4350,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.80s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 236", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:86, mana:9, speed:110
[171.80s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:136, intactWalls:4, nearbyHostiles:1
[171.80s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:135, intactWalls:4, nearbyHostiles:1
[171.83s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"piercing_lance", required:16, current:11, reason:"damage_rotation"
[171.85s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 894", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:345, hp:63, mana:10, speed:110
[171.85s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 773", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:55, hp:42, mana:0, speed:110
[171.85s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4319,"y":2139}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.85s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 2", targetOwner:"teamB", distance:220
[171.85s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"dps_attack_host", target:"mage", targetType:"enemy", distance:32
[171.85s]  undefined | type:"ENEMY_AI_STATE", enemy:"warrior", role:"DPS", hp:105, mana:0, position:{"x":993,"y":2314}, speed:90, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:32, hasSpawnTarget:true, team:"teamA"
[171.86s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 835", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:64, mana:7, speed:110
[171.90s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"Mage 320", distance:32, requiredRange:29, inWater:false
[171.91s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 508", role:"HEALER", decision:"follow_ally", target:"Warrior Guard 5", distance:114, hp:49, mana:11, speed:110
[171.91s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"attack_walls", target:"Flag 4", targetOwner:"teamC", wallsIntact:4
[171.93s]  undefined | type:"MANA_STARVED", unit:"Mage 773", kind:"friendly", ability:"heal_burst", required:18, current:1, max:60
[171.93s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 816", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:3, hp:57, mana:60, speed:110
[171.95s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 894", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:334, hp:63, mana:11, speed:110
[171.95s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 816", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:3, hp:57, mana:60, speed:110
[171.98s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 894", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:332, hp:63, mana:11, speed:110
[171.98s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 236", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:79, mana:10, speed:110
[171.98s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:145, intactWalls:4, nearbyHostiles:1
[171.98s]  undefined | type:"ENEMY_AI_STATE", enemy:"knight", role:"TANK", hp:222, mana:19, position:{"x":4463,"y":1871}, speed:77, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:107, hasSpawnTarget:true, team:"teamB"
[172.01s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:0.53, hpBefore:68, hpAfter:67, hpPercent:34
[172.01s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 2", targetOwner:"teamB", distance:220
[172.03s]  undefined | type:"MANA_STARVED", unit:"Warrior Guard 3", kind:"friendly", ability:"cleave", required:10, current:4, max:60
[172.03s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4350,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.03s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:136, intactWalls:4, nearbyHostiles:1
[172.05s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4349,"y":2023}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.05s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 1", side:"South", wallHP:200, distance:138, intactWalls:4, nearbyHostiles:1
[172.06s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 359", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:41, hp:93, mana:2, speed:110
[172.06s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"cleave", required:10, current:1, max:40
[172.10s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 835", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:57, mana:8, speed:110
[172.10s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"mage", target:"warrior", distance:39, requiredRange:30, inWater:false
[172.10s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_life_leech", required:8, current:3, max:60
[172.10s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"North", wallHP:200, distance:139, intactWalls:4, nearbyHostiles:1
[172.10s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:14, reason:"healer_priority"
[172.10s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:5, reason:"damage_rotation"
[172.10s]  undefined | type:"MANA_STARVED", unit:"warden", kind:"enemy", ability:"ward_barrier", required:22, current:1, max:40
[172.11s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4342,"y":2027}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.11s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4316,"y":2123}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.11s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4347,"y":2025}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.11s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"arc_bolt", required:10, current:5, max:60
[172.13s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1355, hp:63, mana:18, speed:110
[172.13s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2123}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.13s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 508", role:"HEALER", decision:"follow_ally", target:"Warrior Guard 5", distance:115, hp:50, mana:13, speed:110
[172.13s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"mage_radiant_aura", required:18, current:5, max:60
[172.13s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"East", wallHP:200, distance:158, intactWalls:4, nearbyHostiles:1
[172.13s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"mage", target:"Mage Guard 1", distance:42, requiredRange:29, inWater:false
[172.13s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:14, reason:"healer_priority"
[172.15s]  undefined | type:"MANA_STARVATION", unit:"Warrior Guard 3", ability:"cleave", required:10, current:5, reason:"damage_rotation"
[172.15s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:2, reason:"damage_rotation"
[172.15s]  undefined | type:"CREATURE_AI_STATE", creature:"goblin", boss:false, hp:50, target:"warden", distance:30, hitCd:"0.00", attacked:true
[172.18s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"arc_bolt", required:10, current:5, max:60
[172.18s]  undefined | type:"ENEMY_AI_STATE", enemy:"knight", role:"TANK", hp:239, mana:11, position:{"x":945,"y":2350}, speed:77, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:69, hasSpawnTarget:true, team:"teamA"
[172.18s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:14, reason:"healer_priority"
[172.20s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:9, hp:57, mana:16, speed:110
[172.20s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 773", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:55, hp:50, mana:3, speed:110
[172.20s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"arc_bolt", required:10, current:5, max:60
[172.20s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"dps_attack_host", target:"mage", targetType:"enemy", distance:32
[172.23s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:1.06, hpBefore:61, hpAfter:60, hpPercent:30
[172.23s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4343,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.23s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:154, intactWalls:4, nearbyHostiles:1
[172.23s]  undefined | type:"MANA_STARVED", unit:"warden", kind:"enemy", ability:"ward_barrier", required:22, current:1, max:40
[172.24s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1355, hp:63, mana:18, speed:110
[172.24s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4313,"y":2130}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.24s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"piercing_lance", required:16, current:13, reason:"damage_rotation"
[172.28s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1361, hp:63, mana:18, speed:110
[172.28s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 4", targetOwner:"teamC", distance:217
[172.28s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"mage", target:"warden", distance:32, requiredRange:30, inWater:false
[172.29s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:57, mana:17, speed:110
[172.29s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 816", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:6, hp:57, mana:60, speed:110
[172.31s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4347,"y":2024}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.31s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:2, reason:"damage_rotation"
[172.36s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4347,"y":2024}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.36s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:154, intactWalls:4, nearbyHostiles:1
[172.36s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_cleave", required:9, current:5, max:60
[172.38s]  undefined | type:"MANA_STARVATION", unit:"Warrior Guard 3", ability:"warrior_life_leech", required:8, current:6, reason:"damage_rotation"
[172.38s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4349,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.39s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:51, hp:50, mana:17, speed:110
[172.39s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4319,"y":2143}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.39s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:16, reason:"healer_priority"
[172.41s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_combat", target:"Flag 6", side:"South"
[172.41s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:154, intactWalls:4, nearbyHostiles:1
[172.41s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_fortitude", required:15, current:6, max:60
[172.41s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"cleave", required:10, current:3, max:40
[172.43s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4350,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.43s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 894", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:281, hp:63, mana:13, speed:110
[172.44s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 236", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:8, hp:79, mana:13, speed:110
[172.48s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:1.06, hpBefore:53, hpAfter:52, hpPercent:26
[172.48s]  undefined | type:"MANA_STARVATION", unit:"Warrior Guard 3", ability:"warrior_life_leech", required:8, current:6, reason:"damage_rotation"
[172.48s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 2", targetOwner:"teamB", distance:218
[172.48s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:3, reason:"damage_rotation"
[172.49s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4348,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.49s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1359, hp:63, mana:19, speed:110
[172.49s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 816", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:57, mana:60, speed:110
[172.49s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"chain_light", required:18, current:7, reason:"damage_rotation"
[172.49s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"healer_support_position", target:"warden", targetType:"enemy", distance:33
[172.51s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:0.53, hpBefore:52, hpAfter:51, hpPercent:26
[172.51s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:57, mana:18, speed:110
[172.51s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 835", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:57, mana:10, speed:110
[172.54s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:1.06, hpBefore:51, hpAfter:50, hpPercent:25
[172.54s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"attack_walls", target:"Flag 2", targetOwner:"teamB", wallsIntact:4
[172.54s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"Mage Guard 1", distance:35, requiredRange:29, inWater:false
[172.56s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Warrior Guard 5", distance:117, hp:50, mana:18, speed:110
[172.56s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4347,"y":2020}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.56s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"arc_bolt", required:10, current:7, reason:"damage_rotation"
[172.56s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"mage_radiant_aura", required:18, current:14, max:60
[172.56s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"attack_walls", target:"Flag 4", targetOwner:"teamC", wallsIntact:4
[172.56s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:17, reason:"healer_priority"
[172.58s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2163}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[172.58s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"East", wallHP:200, distance:138, intactWalls:4, nearbyHostiles:1
[172.58s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:3, reason:"damage_rotation"
[172.58s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 6", side:"South", wallHP:141, distance:144, intactWalls:4, nearbyHostiles:1
[172.59s]  undefined | type:"MANA_STARVATION", unit:"Warrior Guard 3", ability:"warrior_life_leech", required:8, current:7, reason:"damage_rotation"
[172.59s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"North", wallHP:200, distance:139, intactWalls:4, nearbyHostiles:1
[172.61s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4348,"y":2023}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
