Debug Diagnostic Log
========================================================================================================================
Generated: 1/6/2026, 2:33:00 PM
Total Events: 32863
Game Time: 184s

CURRENT STATE:
  Player Level: 3
  Player HP: 239/239
  Player Mana: 118/118
  Player Stamina: 128/128
  Player Shield: 0 (cap: 239)
  Base Player MaxMana: 70
  Stat Spends: {"vit":0,"int":0,"str":0,"def":0,"agi":0}


======================================== undefined ========================================
[177.80s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:17, max:40
[178.81s]  undefined | type:"WALL_DAMAGE", site:"Flag 5", side:"East", attackers:1, attackerList:"warden(TANK)", roleCounts:{"TANK":1}, damage:0.26, hpBefore:12, hpAfter:12, hpPercent:6
[178.81s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:302, hp:80, mana:51, speed:110
[178.81s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:33, hp:144, mana:34, speed:95
[178.81s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:90, hp:276, mana:8, speed:65
[178.84s]  undefined | type:"TANK_DECISION", tank:"Warden 988", decision:"capture_objective", target:"Flag 4", hasPosition:true
[178.84s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2478,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.84s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:90, hp:276, mana:8, speed:65
[178.87s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2484,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.87s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 988", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:302, hp:102, mana:60, speed:110
[178.87s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:38, hp:204, mana:11, speed:77
[178.91s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2477,"y":1375}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.91s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2485,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.91s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 271", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:306, hp:80, mana:51, speed:110
[178.94s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2480,"y":1374}, distance:303
[178.94s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:57, hp:327, mana:17, speed:77
[178.94s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1048, hp:70, mana:22, speed:77
[178.97s]  undefined | type:"TANK_DECISION", tank:"Knight 664", decision:"capture_objective", target:"Flag 4", hasPosition:true
[178.97s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1378}, distance:306
[178.97s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2484,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.97s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:0, hp:327, mana:11, speed:77
[178.97s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:90, hp:276, mana:9, speed:65
[179.00s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2485,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.00s]  undefined | type:"TANK_DECISION", tank:"Warden 69", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.00s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"attack_wall", target:"Flag 2 wall", distance:98, hp:72, mana:39, speed:77
[179.00s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:47, hp:204, mana:11, speed:77
[179.00s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"attack_enemy", target:"Warrior Guard 3", distance:33, hp:136, mana:6, speed:90
[179.02s]  undefined | type:"TANK_DECISION", tank:"Knight 664", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.02s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2482,"y":1379}, distance:307
[179.02s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:1061, hp:255, mana:40, speed:90
[179.02s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:47, hp:204, mana:12, speed:77
[179.05s]  undefined | type:"WALL_DAMAGE", site:"Flag 5", side:"East", attackers:1, attackerList:"warden(TANK)", roleCounts:{"TANK":1}, damage:0.26, hpBefore:10, hpAfter:10, hpPercent:5
[179.05s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 736", role:"HEALER", decision:"support_allies", target:"Knight 708", distance:54, hp:50, mana:60, speed:110
[179.05s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:72, hp:108, mana:40, speed:90
[179.07s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:54, hp:254, mana:1, speed:77
[179.10s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2478,"y":1373}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.10s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2478,"y":1373}, distance:302
[179.10s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"attack_wall", target:"Flag 2 wall", distance:91, hp:72, mana:40, speed:77
[179.10s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:527, hp:327, mana:34, speed:77
[179.10s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"Warrior Guard 5", distance:639, requiredRange:29, inWater:false
[179.12s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2478,"y":1375}, distance:304
[179.12s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:33, hp:230, mana:40, speed:90
[179.12s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"Warrior Guard 4", distance:66, requiredRange:29, inWater:false
[179.15s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2478,"y":1372}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.15s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2478,"y":1372}, distance:301
[179.15s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1118, hp:126, mana:40, speed:65
[179.15s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:54, hp:148, mana:9, speed:77
[179.17s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 271", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2483,"y":1375}, distance:303
[179.17s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:80, hp:108, mana:40, speed:90
[179.20s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2481,"y":1377}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.20s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1378}, distance:306
[179.22s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2481,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.22s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 86", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:242, hp:63, mana:3, speed:110
[179.22s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2485,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.22s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:117, hp:415, mana:11, speed:77
[179.22s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:61, hp:254, mana:1, speed:77
[179.25s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2475,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.25s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 492", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:235, hp:63, mana:2, speed:110
[179.25s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2481,"y":1375}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.25s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 242", role:"HEALER", decision:"support_allies", target:"Warden 988", distance:50, hp:50, mana:60, speed:110
[179.25s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1049, hp:70, mana:23, speed:77
[179.25s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:0, hp:327, mana:1, speed:77
[179.25s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"attack_wall", target:"Flag 5 wall", distance:0, hp:197, mana:40, speed:65
[179.29s]  undefined | type:"MANA_STARVED", unit:"Warrior 492", kind:"friendly", ability:"mage_radiant_aura", required:18, current:2, max:60
[179.29s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 86", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:245, hp:63, mana:4, speed:110
[179.29s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:34, requiredRange:30, inWater:false
[179.29s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:0, hp:327, mana:1, speed:77
[179.32s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2476,"y":1371}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.32s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2476,"y":1373}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.32s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 69", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2476,"y":1373}, distance:302
[179.32s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"warcry", required:12, current:10, max:40
[179.35s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 664", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:304, hp:80, mana:54, speed:110
[179.35s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2485,"y":1380}, distance:307
[179.35s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2486,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.35s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:33, hp:144, mana:17, speed:77
[179.38s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:35, hp:327, mana:1, speed:77
[179.38s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:679, hp:327, mana:31, speed:77
[179.42s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2477,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.42s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 492", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:240, hp:63, mana:3, speed:110
[179.42s]  undefined | type:"MANA_STARVED", unit:"Warrior 86", kind:"friendly", ability:"warrior_life_leech", required:8, current:4, max:60
[179.42s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:125, hp:415, mana:12, speed:77
[179.42s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"Knight 664", distance:925, requiredRange:29, inWater:false
[179.42s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"knight", distance:34, requiredRange:30, inWater:false
[179.43s]  undefined | type:"WALL_DAMAGE", site:"Flag 5", side:"East", attackers:1, attackerList:"warden(TANK)", roleCounts:{"TANK":1}, damage:0.13, hpBefore:7, hpAfter:7, hpPercent:3
[179.47s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2481,"y":1375}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.47s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:669, hp:327, mana:34, speed:77
[179.47s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:61, hp:195, mana:3, speed:77
[179.47s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:535, hp:327, mana:30, speed:77
[179.47s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:34, hp:144, mana:17, speed:77
[179.50s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 497", role:"HEALER", decision:"support_allies", target:"Warrior 492", distance:54, hp:50, mana:60, speed:110
[179.50s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2478,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.50s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:33, hp:136, mana:14, speed:77
[179.50s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:31, hp:132, mana:28, speed:95
[179.50s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:20, hp:113, mana:27, speed:95
[179.50s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:8, reason:"damage_rotation"
[179.52s]  undefined | type:"TANK_DECISION", tank:"Warden 69", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.52s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2487,"y":1379}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.52s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 271", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2475,"y":1371}, distance:300
[179.52s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"Warrior 492", distance:163, requiredRange:29, inWater:false
[179.52s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:32, hp:230, mana:40, speed:90
[179.52s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:0, reason:"damage_rotation"
[179.55s]  undefined | type:"WALL_DAMAGE", site:"Flag 5", side:"East", attackers:1, attackerList:"warden(TANK)", roleCounts:{"TANK":1}, damage:0.26, hpBefore:6, hpAfter:6, hpPercent:3
[179.55s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2478,"y":1373}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.55s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:305, hp:80, mana:39, speed:110
[179.55s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:129, hp:327, mana:1, speed:77
[179.58s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2485,"y":1380}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.58s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2477,"y":1372}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.58s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"Warrior 86", distance:809, requiredRange:29, inWater:false
[179.58s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:26, hp:144, mana:21, speed:95
[179.58s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:0, hp:327, mana:3, speed:77
[179.60s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:17, hp:135, mana:30, speed:95
[179.63s]  undefined | type:"TANK_DECISION", tank:"Knight 708", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.63s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:305, hp:80, mana:39, speed:110
[179.63s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2479,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.63s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:144, mana:6, speed:77
[179.63s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:111, hp:276, mana:13, speed:65
[179.65s]  undefined | type:"TANK_DECISION", tank:"Knight 664", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.65s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 988", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:306, hp:102, mana:60, speed:110
[179.65s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:17, hp:135, mana:31, speed:95
[179.67s]  undefined | type:"TANK_DECISION", tank:"Warden 69", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.67s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2480,"y":1377}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.67s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"knight", distance:753, requiredRange:30, inWater:false
[179.70s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2486,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.72s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 69", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2482,"y":1379}, distance:307
[179.72s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:675, hp:327, mana:35, speed:77
[179.72s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"attack_wall", target:"Flag 5 wall", distance:0, hp:183, mana:40, speed:65
[179.75s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2477,"y":1375}, distance:304
[179.75s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 708", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1378}, distance:305
[179.75s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:539, hp:327, mana:38, speed:77
[179.75s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:69, hp:195, mana:4, speed:77
[179.77s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 69", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:305, hp:102, mana:60, speed:110
[179.77s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2474,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.77s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:33, requiredRange:30, inWater:false
[179.77s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:34, hp:230, mana:40, speed:90
[179.80s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2480,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.80s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2484,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.80s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 736", role:"HEALER", decision:"support_allies", target:"Warrior 86", distance:51, hp:50, mana:60, speed:110
[179.80s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:20, hp:113, mana:29, speed:95
[179.82s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 492", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:235, hp:63, mana:5, speed:110
[179.82s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2483,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.82s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"knight", distance:104, requiredRange:30, inWater:false
[179.82s]  undefined | type:"SHIELDED_DAMAGE", attacker:"warden", target:"Warrior Guard 4", targetType:"friendly", shieldBefore:"5.0", shieldAfter:"0.0", hpLoss:"5.0", totalDamage:"5.0", targetHP:33
[179.85s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2483,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.85s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 492", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:235, hp:63, mana:5, speed:110
[179.85s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 708", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2484,"y":1377}, distance:305
[179.86s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2478,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.86s]  undefined | type:"TANK_DECISION", tank:"Warden 69", decision:"capture_objective", target:"Flag 4", hasPosition:true
[179.86s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 708", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2482,"y":1376}, distance:304
[179.86s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2484,"y":1377}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.90s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:32, requiredRange:30, inWater:false
[179.90s]  undefined | type:"MANA_STARVED", unit:"warden", kind:"enemy", ability:"tank_bodyguard", required:16, current:14, max:40
[179.93s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2475,"y":1375}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[179.93s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"Warrior 492", distance:158, requiredRange:29, inWater:false
[179.95s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2477,"y":1376}, distance:305
[179.95s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:548, hp:327, mana:33, speed:77
[179.98s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 497", role:"HEALER", decision:"support_allies", target:"Hero", distance:183, hp:50, mana:60, speed:110
